If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Para entender o Dia Internacional contra a Homofobia,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,"No dia das mães, Avon lança campanha com mãe de jovem gay",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais
10 Multipurpose Material Design Themes to Make Your Projects 10 Times Better,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,System Code Geeks are giving away a FREE Sublime Text Editor License,CSS Containment in Chrome 52 | Web Updates - Google Developers,Creating Your Code Review Checklist - DaedTech
Campus São Paulo: conheça a primeira turma do Programa de Residentes,O tênue equilíbrio da equipe que desenha produtos digitais,Chatbots: Are they better without the chat?,#FinTech is all about human-centred design - Chris Skinner's blog,Transforming life insurance with design thinking,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories
Building Spring Cloud Microservices That Strangle Legacy Systems,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Combining Spring Boot and JDBI,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
Apple Releases First Preview of Swift 3.0 for Developers,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Alecrim/AlecrimCoreData,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",What to Expect at WWDC 2016
Supercharge Java Auth with JSON Web Tokens (JWTs) | Baeldung,Top Programming Languages Trends: The Rise of Big Data,Test and deploy to Google App Engine with the new Maven and Gradle plugins,Gartner Reprint,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,"Autofill: What web devs should know, but don't"
Multi-Channel Marketing in 2015 - It's not rocket science.,AEM 6.1 Package Manager Metadata Files,WeChat's world,Test and deploy to Google App Engine with the new Maven and Gradle plugins,Acquia Engage Awards Finalists Announced,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic"
5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match,AI Is Here to Help You Write Emails People Will Actually Read,Algorithms and architecture for job recommendations,"Deep Learning for Chatbots, Part 1 - Introduction",Machine Learning Is No Longer Just for Experts,Machine Learning and the VP Debate
71 erros de português que precisam sumir dos seus e-mails,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",How Mark Zuckerberg Led Facebook's War to Crush Google Plus,The AI business landscape,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"Within a Decade, Retail Banks will be Dead"
"contentId
319340024738595907    MITSUBISHI ASX 2.0 4X4 AWD 16V GASOLINA 4P AUT...
319340024738595907    MITSUBISHI ASX 2.0 4X4 AWD 16V GASOLINA 4P AUT...
Name: title, dtype: object","Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,The future of the shopping mall,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Why porting an iOS design to Android will not work
Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",Apple Releases First Preview of Swift 3.0 for Developers,Alecrim/AlecrimCoreData,Google may be considering Swift for use on Android,What to Expect at WWDC 2016
A nova sede da LEGO na Dinamarca é toda sobre colaboração,Client-side ranking to more efficiently show people stories in feed,A identidade visual de Budapeste para as Olimpíadas de 2024,"Little girls doubt that women can be brilliant, study shows",De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,Designer Creates 13 Perfect Circles to Draw Almost Any Animal
DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Using Honcho to Create a Multi-Process Docker Container,"Docker - Build, Ship, and Run Any App, Anywhere",Introduction to release engineering,The Continuous Delivery Maturity Model,"DevOps security requires new mindset and tools for visibility, automation"
O tênue equilíbrio da equipe que desenha produtos digitais,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Chatbots: Are they better without the chat?,#FinTech is all about human-centred design - Chris Skinner's blog,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Transforming life insurance with design thinking
Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Workplace diversity in Brazil: there's still a long way to go,As expectativas das mulheres da Geração Y são muitas,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,A minha viagem à Maternidade #tetodomundo,Neural networks are inadvertently learning our language's hidden gender biases
Most Interesting APIs in 2016: Cognitive Computing,"Docker - Build, Ship, and Run Any App, Anywhere",Hacked Website Report - 2016/Q3,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Visa lança desafio para startups de tecnologia - Startupi,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com
Google researchers teach AIs to see the important parts of images - and tell you about them,Making open source data more available,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste","Hello, TensorFlow!"
Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória,Resenha - A Chegada,gotwarlost/istanbul,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,Elasticsearch: CSV exporter for Kibana Discover
Why porting an iOS design to Android will not work,How to Design a Walkthrough That Users Will Read,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Designing smart notifications,Alecrim/AlecrimCoreData,Building more accessible technology
Scrum Community - Scrum Alliance,The Difference Between Sympathy And Empathy - Expanded Consciousness,Top 15 Facebook Open Source Projects You Must Know,What Science Tells Us About Leadership Potential,The five phases of migrating to Google Cloud Platform,The Ten Commandments of Egoless Programming
Mastering Bash and Terminal,Build Quality In: The Key to Continuous Delivery in Kanban,Labelling automated builds on Docker Hub - Microscaling Systems,The Ten Commandments of Egoless Programming,Discutindo Devops na Prática,New Amazon Linux Container Image for Cloud and On-Premises Workloads
How This Former Google Engineer Is Bringing Blockchain to Banks,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Bradesco vai lançar novo banco digital: o Next.,Itaú é pioneiro do blockchain,Nubank pode fechar as portas se BC confirmar mudança amanhã,The Drive to Bank on Digital
AI Is Here to Help You Write Emails People Will Actually Read,Text summarization with TensorFlow,Algorithms and architecture for job recommendations,The AI business landscape,Bad Writing Is Destroying Your Company's Productivity,Machine Learning Is No Longer Just for Experts
Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket,Client-side ranking to more efficiently show people stories in feed,Announcing .NET Core 1.0,Torus,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,AEM 6.1 Package Manager Metadata Files
Duolingo's chatbots help you learn a new language,Why Deep Learning Is Suddenly Changing Your Life,How will bots make money? Here are 7 business models,This Super Accurate Portrait Selection Tech Uses Neural Networks,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Top 10 Intranet Trends of 2016
Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",How it feels to learn Javascript in 2016,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,Elastic Stack 5.0.0 Released,Monitoramento em tempo real com Elasticsearch e Kibana
Labelling automated builds on Docker Hub - Microscaling Systems,Build Quality In: The Key to Continuous Delivery in Kanban,Mastering Bash and Terminal,Vision API - Image Content Analysis,Discutindo Devops na Prática,The Ten Commandments of Egoless Programming
Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Google employees are adding 'Lady' to their job titles to fight sexism,9 Non-Threatening Leadership Strategies for Women,The AI business landscape,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC",Making open source data more available
"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Jury finds Google's implementation of Java in Android was fair use,9 Non-Threatening Leadership Strategies for Women,Google employees are adding 'Lady' to their job titles to fight sexism,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks"
​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Microsoft's Open Source Love Affair Reaches New Heights,My experience with Google's Associate Android Developer Certification
Powering a more connected and collaborative enterprise,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,"Amazon open-sources its own deep learning software, DSSTNE",Why Google App Engine rocks: A Google engineer's take,Google's Cloud Machine Learning service is now in public beta,Google lags behind Amazon and Microsoft's cloud in one important area
So you want to sell to banks?,Ray Kurzweil: The world isn't getting worse - our information is getting better,Time to Re-Think Design Thinking,Itaú é pioneiro do blockchain,The surprising truth about which countries lead in digital,Nubank pode fechar as portas se BC confirmar mudança amanhã
O que você deve fazer para se tornar um líder melhor?,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,Qual é o valor da área de T&D na sua empresa?,"Para neurociência, motivação não é fator principal em mudança de hábitos",How to augment your career with leadership coaching
Infográfico: Algoritmos para Aprendizado de Máquina,"Hello, TensorFlow!",The AI business landscape,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Why Google App Engine rocks: A Google engineer's take,Wide & Deep Learning: Better Together with TensorFlow
Burger King aceita pedidos via mensagens no Facebook - Startupi,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,1º Congresso Brasileiro de IoT - Embarcados,Nova pulseira tecnológica avisa se você já bebeu demais,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Google lança experimentos com inteligência artificial | Google Discovery
"Inovador, Nubank ganha prêmio no Vale do Silício | EXAME.com",Big IT Rising,An operating model for company-wide agile development,You won't recognize the new world of digital payments without this report,Latin America's chronic inefficiency could drive more O2O commerce growth,An operating model for company-wide agile development
Tasting Dagger 2 on Android,Criando ícones animados no Android,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Hype Driven Development,Client-side ranking to more efficiently show people stories in feed,Firebase Test Lab for Android
Slack and Google announce partnership focused on better integrating their services,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,Google researchers teach AIs to see the important parts of images - and tell you about them,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste","DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
Elasticsearch: CSV exporter for Kibana Discover,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Usando o git add interativo,Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre"
Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Introducing Ask a Female Engineer,Burger King aceita pedidos via mensagens no Facebook - Startupi,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Nova pulseira tecnológica avisa se você já bebeu demais
Seria Stranger Things uma obra de arte do algoritmo da Netflix?,The AI business landscape,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Why Google App Engine rocks: A Google engineer's take,"Amazon open-sources its own deep learning software, DSSTNE",What the Google I/O schedule tells us about the future of Android
"Como o e-commerce brasileiro pode, enfim, começar a lucrar",From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Não existe frete grátis!,As compras e os hábitos dos brasileiros no shopping | EXAME.com,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Por que o Walmart não é Walmart no Brasil
Assista a entrevista de Linus Torvalds no TED legendada,StrictMode for Runtime Analysis on Android - Google Developers,"Fresco, sim! - Android Dev BR",It's The Future,Firebase and Google Cloud: better together,Firebase Test Lab for Android
Lists are the new search,Alecrim/AlecrimCoreData,A New Number Format for Computers Could Nuke Approximation Errors for Good,Joel on Software,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
Porto Seguro compra carteira de seguros Auto da Chubb,Jeff Seguros: SEGUROS E GAMES,Ranking das maiores seguradoras da Europa - 2015 | Sonho Seguro,Transforming life insurance with design thinking,Liberty vai adotar telemetria e baratear seguro para bons motoristas,Dicionário de Segurês
Evernote anuncia integração com Google Drive | Google Discovery,The technology behind preview photos,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Testes unitários vs aceitação - Android Dev BR,The Ten Commandments of Egoless Programming,Inteligência artificial da IBM criou 'trailer perfeito' para filme
Internet of Things Drives Outcome-Based Business Models,How to finish 3D printed PLA objects,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,DBA BRASIL no INTEROPMIX 2016,Standing on the Shoulders of Giants - Built to Adapt,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy"
Peças Translúcidas,How to finish 3D printed PLA objects,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Lentes de contato inteligentes serão o wearable definitivo,DualShock 4 Repair,Laboratório da Disney cria robô que pula
Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Para entender o Dia Internacional contra a Homofobia,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,The Genderbread Person v3 | It's Pronounced Metrosexual
"Google acquires Synergyse, an interactive training service for Google Apps","Google launches Springboard, an AI-powered assistant for its enterprise customers","Hello, a nova rede social do Orkut, está liberada no Brasil",Building more accessible technology,"Bots, Messenger and the future of customer service",Inbox by Gmail ganha formatação de texto | Google Discovery
Johnson & Johnson comprará grupo suíço por US$ 30 bi,Dries Buytaert,Who sponsors Drupal development? | Dries Buytaert,What Google AMP Means for Every Marketer,Johnson & Johnson compra líder global em dermocosméticos | EXAME.com,A nova sede da LEGO na Dinamarca é toda sobre colaboração
The brilliant mechanics of Pokémon Go,The Physical Web,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Mobile marketing statistics 2016,Top 10 Intranet Trends of 2016,Can Accenture Take Over Advertising?
Eclipse Foundation Releases Neon,Kubernetes,Graph Capabilities with the Elastic Stack,Serverless Data Sync in Web Apps with Bit Torrent,JavaServer Faces 2.3 Quick Reference - DZone Java,Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic
Machine Learning Is Redefining The Enterprise In 2016,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,The barbell effect of machine learning.,"Hello, TensorFlow!",How enterprise architects can help ensure success with digital transformations,Machine Learning Is No Longer Just for Experts
The future of the shopping mall,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,6 exemplos de como usar computação cognitiva | EXAME.com,Quando usar paginação e quando usar scroll infinito?,The surprising truth about which countries lead in digital
One Dollar Board: Um projeto brasileiro para revolucionar a educação,11 Internet of Things (IoT) Protocols You Need to Know About,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,Comercial japonês cria cidade de papel com caneta que conduz eletricidade
What is WebAssembly? The Dawn of a New Era - JavaScript Scene,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,StrictMode for Runtime Analysis on Android - Google Developers,The Importance of Code Reviews,Post: Just Say mNo to Hungarian Notation,Assista a entrevista de Linus Torvalds no TED legendada
Don't document your code. Code your documentation.,Como testar exceções em Java com o JUnit - Code a Test,Concrete things you can do about your technical debt,Using DiffUtil in Android RecyclerView,When to make a Git Commit,Testes unitários vs aceitação - Android Dev BR
Spark comparison: AWS vs. GCP,Google's Cloud Machine Learning service is now in public beta,Machine Learning Is No Longer Just for Experts,"The ""Joel Test"" for Data Science",Google cloud boss Diane Greene: We're winning against AWS and Microsoft,Scala is the new golden child
New Amazon Linux Container Image for Cloud and On-Premises Workloads,Build Quality In: The Key to Continuous Delivery in Kanban,Do You Suffer From Deployment Anxiety? - DZone DevOps,Labelling automated builds on Docker Hub - Microscaling Systems,Mastering Bash and Terminal,The Ten Commandments of Egoless Programming
Testes unitários vs aceitação - Android Dev BR,Evernote anuncia integração com Google Drive | Google Discovery,Using DiffUtil in Android RecyclerView,Developing Android unit and instrumentation tests - Tutorial,The technology behind preview photos,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi
"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi,1º Congresso Brasileiro de IoT - Embarcados,Nova pulseira tecnológica avisa se você já bebeu demais,Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI
Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Mary Meeker's essential 2016 Internet Trends Report,The AI business landscape,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,Par de alianças impede que seu parceiro assista Netflix sem você,Touch (TV Series 2012-2013)
Rating the English Proficiency of Countries and Industries Around the World,Build Quality In: The Key to Continuous Delivery in Kanban,Top 30 Commonly Confused Words in English,"contentId
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
Name: title, dtype: object",Tech in Brazil is booming despite the country's political troubles,The real reasons you procrastinate - and how to stop
Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,The AI business landscape,Touch (TV Series 2012-2013),Text summarization with TensorFlow,Here's proof that Google is getting serious about battling Facebook in a key area,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack"
Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Things you probably didn't know you could do with Chrome's Developer Console,Mobify report reveals impact of mobile website speed,Não existe frete grátis!
WeChat's world,WeChat's competitor to Slack has arrived,"How I built an app with 500,000 users in 5 days on a $100 server",Acquia Engage Awards Finalists Announced,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",Multi-Channel Marketing in 2015 - It's not rocket science.
Como resolver conflitos no ambiente corporativo us,Investimentos em coaching e mentoring aumentam nas empresas,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,How to augment your career with leadership coaching,Cinco competências comportamentais para você ser um bom líder,Lean IT is all about people - o Lean na TI é focado em pessoas
55 fornecedores de TI que apresentarão novidades no Ciab 2016,How to Create an Exponential Mindset,The surprising truth about which countries lead in digital,Accenture amplia atuação no Brasil,Transforming life insurance with design thinking,Organizing for digital acceleration: Making a two-speed IT operating model work
Top 5 Android Testing Frameworks with Examples,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Dicas avançadas de ruby (capybara/cucumber),The Broken Window Theory,Microservices testing
"Fresco, sim! - Android Dev BR",StrictMode for Runtime Analysis on Android - Google Developers,Creating Compound Views on Android,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Firebase Test Lab for Android,Android Mobile Vision restores operation and adds Text API | Android Developers Blog
Mobile Time,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,6 exemplos de como usar computação cognitiva | EXAME.com,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Liberty vai adotar telemetria e baratear seguro para bons motoristas
O dia em que tive mais medo de estar errada.,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,#Sentaquelávemtextão,A minha viagem à Maternidade #tetodomundo,As expectativas das mulheres da Geração Y são muitas,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube
Cinco competências essenciais ao IT Leaders - CIO,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",Nubank e Goldman fecham parceria de R$ 200 milhões,Why the customer experience matters,The future of the shopping mall,Why image recognition is about to transform business
Hype Driven Development,How to build cross-platform mobile apps using nothing more than a JSON markup,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,On DRY and the cost of wrongful abstractions,Aplicações da Inteligência artificial | Endeavor Brasil,Spring Boot 1.5.1 released
What Apple's differential privacy means for your data and the future of machine learning,Joel on Software,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Alecrim/AlecrimCoreData,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
9 Non-Threatening Leadership Strategies for Women,Google employees are adding 'Lady' to their job titles to fight sexism,"An independent organization just ranked Google as the best cloud, beating Amazon",A minha viagem à Maternidade #tetodomundo,Jury finds Google's implementation of Java in Android was fair use,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters
Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Two Different Sales Motions . . . .,An operating model for company-wide agile development,Staying one step ahead at Pixar: An interview with Ed Catmull,7 Questions to Ask Before Your Next Digital Transformation,The return of the machinery question
Introducing Ask a Female Engineer,The Genderbread Person v3 | It's Pronounced Metrosexual,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Workplace diversity in Brazil: there's still a long way to go,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção"
Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Olli: Artificial Intelligence for the real world of connected commuting,Advanced Android Espresso,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Microservices Architecture on Google App Engine
Serverless real-time architecture on AWS: there is a way !,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Serverless Architectures,Angular 2 versus React: There Will Be Blood - Free Code Camp,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Microservices Architecture on Google App Engine
Creating value in auto finance with vLendRight | Kevin Moseri,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Google acquires deep search engine Kifi to enhance its Spaces group chat app,The economic essentials of digital strategy,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,Goodbye accountants! Startup builds AI to automate all your accounting
"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",Banking Needs a Customer Experience Wake-Up Call,"No, Apple isn't the next BlackBerry - it's the next Microsoft",XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Confused by blockchains? Revolution vs Evolution,Mobile marketing statistics 2016
Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Workplace diversity in Brazil: there's still a long way to go,Why Is Learning Drupal Hard?,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Para entender o Dia Internacional contra a Homofobia
"Applying the Linus Torvalds ""Good Taste"" Coding Requirement",Anti-If: The missing patterns,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Mobify report reveals impact of mobile website speed,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
Designer Creates 13 Perfect Circles to Draw Almost Any Animal,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",A identidade visual de Budapeste para as Olimpíadas de 2024,Branding é problema seu. E meu.,Chrome OS now has Material Design for the desktop,Seria Stranger Things uma obra de arte do algoritmo da Netflix?
"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,As compras e os hábitos dos brasileiros no shopping | EXAME.com,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Não existe frete grátis!
"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Netflix emociona com vídeo destacando personagens LGBT,The Genderbread Person v3 | It's Pronounced Metrosexual,Workplace diversity in Brazil: there's still a long way to go
Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Top 5 Android Testing Frameworks with Examples,Resenha - A Chegada,Dicas avançadas de ruby (capybara/cucumber),"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória
Meio&Mensagem,Can Accenture Take Over Advertising?,The need to lead in data and analytics,The surprising truth about which countries lead in digital,Accenture amplia atuação no Brasil,Mobile Time
"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Building Spring Cloud Microservices That Strangle Legacy Systems,Combining Spring Boot and JDBI,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways","Incrível, Skype se lembrou que o Linux existe!"
Migrating from Parse to Bluemix,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",The moment when you realize every server in the world is vulnerable - Free Code Camp,Olli: Artificial Intelligence for the real world of connected commuting,Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com
How to build cross-platform mobile apps using nothing more than a JSON markup,Hype Driven Development,Programming by poking: why MIT stopped teaching SICP,Communication patterns in a Microservice world,Beyond Progressive Web Apps Part 2: We Need to Know What's New,Arquitetura de Microserviços habilitando APIs - Sensedia
The Best Linux Distros of 2016,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Chrome OS now has Material Design for the desktop,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Programming by poking: why MIT stopped teaching SICP,Facebook's WhatsApp does something very different than Google
Docker e .Net,Our password hashing has no clothes,Introduction to release engineering,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Serverless Data Sync in Web Apps with Bit Torrent,A New Number Format for Computers Could Nuke Approximation Errors for Good
Lean IT is all about people - o Lean na TI é focado em pessoas,Investimentos em coaching e mentoring aumentam nas empresas,Qual é o valor da área de T&D na sua empresa?,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,How to augment your career with leadership coaching
